animal_name,upi,date,behaviour_session_number,experiment_number,behaviour_code,num_behaviour_trials,missing_behaviour_trials,skip_behaviour_trials,num_imaging_trials,missing_imaging_trials,skip_imaging_trials,protocol_phase,skipFrames,comments,imaging_comments,behaviour_comment,xmin:ymin,xmax:ymax,eye_threshold,white_eye,num_imaging_frames,width:height
G508,1,20210823,,1,All1,40,,,0,,,habituation,,,,,399:111,471:254,54,0,,72:143
G508,2,20210825,,1,SoAn1,60,,,0,,,learning1,,,,,373:119,436:263,58,0,,63:144
G508,3,20210826,,1,SoAn1,60,,,0,,,learning1,,,,,408:117,470:247,52,0,,62:130
G508,4,20210827,,1,SoAn1,60,,,0,,,learning1,,,,,395:113,459:257,53,0,,64:144
G508,5,20210828,,1,SoAn1,60,,,0,,,learning1,,,,,399:107,460:259,54,0,,61:152
G508,6,20210830,,1,SoAn1,60,,,0,,,learning1,,,,,420:131,477:241,53,0,,57:110
G508,7,20210901,,1,SoAn1,60,,,0,,,learning1,,,,,394:113,459:257,63,0,,65:144
G508,8,20210901,,1,SoAn1,38,,,0,,,learning1,,,,,385:117,445:247,56,0,,60:130
G508,9,20210902,,1,SoAn1,60,,,0,,,learning1,,,,,391:111,450:254,54,0,,59:143
G508,10,20210903,,1,An1,60,,,0,,,learning1,,,,,387:108,447:247,62,0,,60:139
G508,11,20210904,,1,An1,58,16;40,,0,,,learning1,,,,,403:113,459:245,51,0,,56:132
G508,12,20210905,,1,An1,59,16,,0,,,learning1,,,,,414:114,476:252,53,0,,62:138
G508,13,20210907,,1,An1,60,,,0,,,learning2,,,,,403:116,469:254,50,0,,66:138
G508,14,20210908,,1,An1,60,,,0,,,learning2,,,,,424:107,490:244,58,0,,66:137
G508,15,20210909,,1,An1,50,,,0,,,learning2,,,,,407:118,472:254,80,0,,65:136
G508,16,20210909,,1,An2,30,,,0,,,learning2,,,,,405:114,467:250,65,0,,62:136
G508,17,20210910,,1,An2,60,,,0,,,learning2,,,,,408:119,476:250,57,0,,68:131
G508,18,20210911,,1,An2,60,,,0,,,learning2,,,,,379:120,441:254,62,0,,62:134
G508,19,20210912,,1,An2,60,,,0,,,learning3,,,,,381:114,440:248,52,0,,59:134
G508,20,20210913,,1,An2,59,1,,0,,,learning3,,,,,399:113,460:238,53,0,,61:125
G508,21,20210914,,1,An3,60,,,0,,,learning3,,,,,399:116,460:243,47,0,,61:127
G508,22,20210915,,1,An3,60,,,0,,,learning3,,,,,393:125,459:247,58,0,,66:122
G508,23,20210916,,1,An3,58,16;36,,0,,,learning3,,,,,390:120,455:259,60,0,,65:139
G508,24,20210917,,1,An3,60,,,0,,,learning4,,,,,402:124,463:246,51,0,,61:122
G508,25,20210918,,1,An3,59,16,,0,,,learning4,,,,,420:127,483:267,47,0,,63:140
G508,26,20210919,,1,Hr7,60,,,0,,,learning4,,,,,409:122,476:250,56,0,,67:128
G508,27,20210920,,1,Hr7,59,16,,0,,,learning4,,,,,401:126,467:270,56,0,,66:144
G508,28,20210921,,1,Hr7,60,,,0,,,learning4,,,,,419:128,481:266,53,0,,62:138
G508,29,20210922,,1,Hr7,44,,,0,,,learning4,,,,,404:136,468:272,52,0,,64:136
