animal_name,upi,date,behaviour_session_number,experiment_number,behaviour_code,num_behaviour_trials,missing_behaviour_trials,skip_behaviour_trials,num_imaging_trials,missing_imaging_trials,skip_imaging_trials,protocol_phase,skipFrames,comments,imaging_comments,behaviour_comment,xmin:ymin,xmax:ymax,eye_threshold,white_eye,num_imaging_frames,width:height
G506,1,20210823,,1,All1,39,29,,0,,,habituation,,,,,335:197,368:275,70,0,,33:78
G506,2,20210825,,1,SoAn1,60,,,0,,,learning1,,,,,318:198,349:272,60,0,,31:74
G506,3,20210826,,1,SoAn1,59,37,,0,,,learning1,,,,,311:196,343:273,61,0,,32:77
G506,4,20210827,,1,SoAn1,60,,,0,,,learning1,,,,,321:200,350:275,62,0,,29:75
G506,5,20210828,,1,SoAn1,60,,,0,,,learning1,,,,,325:194,355:260,77,0,,30:66
G506,6,20210830,,1,SoAn1,60,,,0,,,learning1,,,,,324:192,354:266,67,0,,30:74
G506,7,20210901,,1,SoAn1,60,,,0,,,learning1,,,,,321:203,349:276,61,0,,28:73
G506,8,20210901,,1,SoAn1,60,,,0,,,learning1,,,,,300:199,330:269,77,0,,30:70
G506,9,20210902,,1,SoAn1,60,,,0,,,learning1,,,,,323:196,354:269,69,0,,31:73
G506,10,20210903,,1,SoAn1,59,47,,0,,,learning1,,,,,272:201,306:267,73,0,,34:66
G506,11,20210904,,1,SoAn1,60,,,0,,,learning1,,,,,307:196,336:256,89,0,,29:60
G506,12,20210905,,1,SoAn1,60,,,0,,,learning1,,,,,314:206,350:273,70,0,,36:67
G506,13,20210907,,1,An1,60,,,0,,,learning2,,,,,315:216,349:280,70,0,,34:64
G506,14,20210908,,1,An1,60,,,0,,,learning2,,,,,368:198,404:268,64,0,,36:70
G506,15,20210909,,1,An1,32,,,0,,,learning2,,,,,349:195,381:270,71,0,,32:75
G506,16,20210910,,1,An1,60,,,0,,,learning2,,,,,366:194,397:263,65,0,,31:69
G506,17,20210911,,1,An1,60,,,0,,,learning2,,,,,338:203,373:269,66,0,,35:66
G506,18,20210912,,1,An1,60,,,0,,,learning2,,,,,284:210,317:269,70,0,,33:59
G506,19,20210913,,1,An2,60,,,0,,,learning3,,,,,198:207,233:269,69,0,,35:62
G506,20,20210914,,1,An2,59,1,,0,,,learning3,,,,,207:204,239:268,68,0,,32:64
G506,21,20210915,,1,An2,59,16,,0,,,learning3,,,,,182:195,221:271,79,0,,39:76
G506,22,20210916,,1,An2,59,16,,0,,,learning3,,,,,296:203,332:273,74,0,,36:70
G506,23,20210917,,1,An2,60,,,0,,,learning3,,,,,306:198,343:267,91,0,,37:69
G506,24,20210918,,1,An3,60,,,0,,,learning4,,,,,294:203,330:272,64,0,,36:69
G506,25,20210919,,1,An3,59,16,,0,,,learning4,,,,,313:203,348:265,61,0,,35:62
G506,26,20210920,,1,An3,60,,,0,,,learning4,,,,,309:205,341:270,60,0,,32:65
G506,27,20210921,,1,An3,60,,,0,,,learning4,,,,,296:206,334:279,73,0,,38:73
G506,28,20210922,,1,An3,60,,,0,,,learning4,,,,,285:215,320:286,77,0,,35:71
G506,29,20210923,,1,An3,60,,,0,,,learning4,,,,,292:218,325:292,67,0,,33:74
G506,30,20210924,,1,An3,59,16,,0,,,multitrace,,,,,285:219,321:288,69,0,,36:69
G506,31,20210925,,1,Hr7,60,,,0,,,multitrace,,,,,286:221,325:299,71,0,,39:78
G506,32,20210926,,1,Hr7,60,,,0,,,multitrace,,,,,,,,0,,
