animal_name,upi,date,behaviour_session_number,experiment_number,behaviour_code,num_imaging_trials,missing_imaging_trials,skip_imaging_trials,num_behaviour_trials,missing_behaviour_trials,skip_behaviour_trials,protocol_phase,cs_frame_imaging,comments,imaging_comments,behaviour_comment,xmin:ymin,xmax:ymax,eye_threshold,white_eye,num_imaging_frames,width:height
G396,17,20210222,14,1,An2,59,47,47,59,47,47,learning3,,Trial 1 of image eg of PMT on in b/w,,Trial 16 is 6MB less than others,360:145,418:244,69,0,232,58:99
G396,18,20210223,15,1,An2,33,3;15,3;15,33,3;15,3;15,learning3,,,,,363:129,425:238,72,0,232,62:109
G396,19,20210223,15,2,An3,59,16,16,59,16,16,learning4,,,,Trial 16 is 25MB less than others,374:139,429:243,53,0,232,55:104
G396,20,20210225,16,1,An3,56,7;9;16;53,7;9;16;53,56,7;9;16;53,7;9;16;53,learning4,,,,,377:129,441:244,62,0,232,64:115
G396,21,20210226,1701,1,An3,58,7;39,7;39,58,7;39,7;39,learning4,,,,,389:139,443:230,49,0,232,54:91
G396,22,20210227,18,1,An3,58,1;26,1;26,58,1;26,1;26,learning4,,,,,376:139,428:238,58,0,232,52:99
G396,23,20210301,19,1,Hr6,54,10;11;12;14;36;47,10;11;12;14;36;47,54,10;11;12;14;36;47,10;11;12;14;36;47,learning1,,,,,373:124,429:249,56,0,232,56:125
G396,24,20210302,20,1,Hr7,58,11;12,11;12,58,11;12,11;12,multitrace,,,,,368:121,425:250,59,0,232,57:129
G396,25,20210303,21,1,Hr7,60,,,60,,,multitrace,,,,,357:139,414:244,62,0,232,57:105
G396,26,20210304,22,1,Hr7,59,9,9,59,9,9,multitrace,,,,,361:120,428:251,62,0,232,67:131
G396,27,20210305,23,1,Hr7,53,21;23;25;33;34;35;36,21;23;25;33;34;35;36,53,21;23;25;33;34;35;36,21;23;25;33;34;35;36,multitrace,95,trace 250 ms,,,357:127,415:255,56,0,232,58:128
G396,28,20210306,24,1,Hr7,55,1;8;13;17;23,1;8;13;17;23,55,1;8;13;17;23,1;8;13;17;23,multitrace,95,,,,375:136,432:230,71,0,232,57:94
G396,29,20210307,25,1,Hr7,57,9;13;44,9;13;44,57,9;13;44,9;13;44,multitrace,94-95,,,,341:134,402:242,67,0,232,61:108
G396,30,20210308,26,1,All3,59,6,6,59,6,6,extinction,95,,,,372:125,431:247,55,0,232,59:122
G396,31,20210309,27,1,All3,60,,,60,,,extinction,95,,,,368:129,421:236,56,0,232,53:107
G396,32,20210310,2801,1,All3,58,59;60,59;60,58,59;60,59;60,extinction,95,,,,360:131,420:223,61,0,232,60:92
G396,33,20210311,2901,1,All3,57,39;54;60,39;54;60,57,39;54;60,39;54;60,extinction,,,,,289:125,446:232,78,0,232,157:107
