animal_name,upi,date,behaviour_session_number,experiment_number,behaviour_code,num_behaviour_trials,missing_behaviour_trials,skip_behaviour_trials,num_imaging_trials,missing_imaging_trials,skip_imaging_trials,protocol_phase,skipFrames,comments,imaging_comments,behaviour_comment,xmin:ymin,xmax:ymax,eye_threshold,white_eye,num_imaging_frames,width:height
G493,1,20210823,,1,All1,43,,,0,,,habituation,,,,,401:103,466:244,60,0,,65:141
G493,2,20210825,,1,SoAn1,60,,,0,,,learning1,,,,,387:113,456:251,53,0,,69:138
G493,3,20210826,,1,SoAn1,60,,,0,,,learning1,,,,,414:120,486:235,54,0,,72:115
G493,4,20210827,,1,SoAn1,60,,,0,,,learning1,,,,,404:117,468:246,58,0,,64:129
G493,5,20210828,,1,SoAn1,60,,,0,,,learning1,,,,,401:120,465:239,59,0,,64:119
G493,6,20210830,,1,SoAn1,60,,,0,,,learning1,,,,,396:103,474:248,54,0,,78:145
G493,7,20210831,,1,SoAn1,59,47,,0,,,learning1,,,,,406:115,470:235,72,0,,64:120
G493,8,20210901,,1,SoAn1,60,,,0,,,learning1,,,,,389:106,456:244,50,0,,67:138
G493,9,20210902,,1,SoAn1,59,40,,0,,,learning1,,,,,378:110,439:242,53,0,,61:132
G493,10,20210903,,1,An1,60,,,0,,,learning2,,,,,386:108,449:248,49,0,,63:140
G493,11,20210904,,1,An1,60,,,0,,,learning2,,,,,410:122,470:238,54,0,,60:116
G493,12,20210905,,1,An1,59,16,,0,,,learning2,,,,,407:109,477:249,52,0,,70:140
G493,13,20210906,,1,An1,60,,,0,,,learning2,,,,,419:117,484:239,48,0,,65:122
G493,14,20210908,,1,An1,59,16,,0,,,learning2,,,,,422:111,487:239,57,0,,65:128
G493,15,20210909,,1,An1,34,16,,0,,,learning2,,,,,398:121,458:221,67,0,,60:100
G493,16,20210909,,1,An2,60,,,0,,,learning3,,,,,336:129,394:216,53,0,,58:87
G493,17,20210910,,1,An2,60,,,0,,,learning3,,,,,397:111,462:247,48,0,,65:136
G493,18,20210911,,1,An2,60,,,0,,,learning3,,,,,381:120,447:234,51,0,,66:114
G493,19,20210912,,1,An2,60,,,0,,,learning3,,,,,386:109,451:241,50,0,,65:132
G493,20,20210913,,1,An2,59,16,,0,,,learning3,,,,,393:109,455:226,49,0,,62:117
G493,21,20210914,,1,An3,60,,,0,,,learning4,,,,,385:129,442:236,44,0,,57:107
G493,22,20210915,,1,An3,59,16,,0,,,learning4,,,,,394:99,462:242,43,0,,68:143
G493,23,20210916,,1,An3,58,4;5,,0,,,learning4,,,,,397:100,470:250,45,0,,73:150
G493,24,20210917,,1,An3,59,16,,0,,,learning4,,,,,402:114,467:244,49,0,,65:130
G493,25,20210918,,1,An3,60,,,0,,,learning4,,,,,391:112,450:246,42,0,,59:134
G493,26,20210919,,1,An3,60,,,0,,,learning4,,,,,412:114,477:235,41,0,,65:121
G493,27,20210920,,1,Hr7,60,,,0,,,multitrace,,,,,403:101,477:241,46,0,,74:140
G493,28,20210921,,1,Hr7,60,,,0,,,multitrace,,,,,401:128,452:228,81,0,,51:100
G493,29,20210922,,1,Hr7,60,,,0,,,multitrace,,,,,402:115,461:248,45,0,,59:133
G493,30,20210923,,1,Hr7,60,,,0,,,multitrace,,,,,409:112,470:243,43,0,,61:131
G493,31,20210924,,1,Hr7,60,,,0,,,multitrace,,,,,397:106,465:247,48,0,,68:141
G493,32,20210925,,1,All3,59,13,,0,,,extinction,,,,,403:105,465:238,48,0,,62:133
G493,33,20210926,,1,All3,60,,,0,,,extinction,,,,,410:116,471:239,48,0,,61:123
G493,34,20210927,,1,All3,60,,,0,,,extinction,,,,,410:114,473:242,50,0,,63:128
G493,35,20210928,,1,All3,60,,,0,,,extinction,,,,,414:128,471:225,57,0,,57:97
